TeamId,TeamName,SubmissionDate,Score
374689,"Ted Petrou","2016-09-22 21:02:33",0.17234
374689,"Ted Petrou","2016-09-22 21:06:49",0.14751
374689,"Ted Petrou","2016-09-22 21:43:23",0.13359
374689,"Ted Petrou","2016-09-22 21:52:43",0.13187
374689,"Ted Petrou","2016-09-23 00:16:01",0.12905
374689,"Ted Petrou","2016-09-23 00:18:55",0.12538
374689,"Ted Petrou","2016-09-24 01:27:29",0.12396
374689,"Ted Petrou","2016-09-24 01:42:52",0.12116
374689,"Ted Petrou","2016-09-28 15:01:19",0.12064
374689,"Ted Petrou","2016-09-28 18:03:05",0.12021
374689,"Ted Petrou","2016-09-28 18:05:47",0.11850
434217,"Finlay Liu","2016-12-18 07:35:35",0.11623
457911,naoki02,"2017-01-28 09:57:23",0.15797
457911,naoki02,"2017-01-28 10:44:11",0.15678
457911,naoki02,"2017-01-28 11:22:02",0.15122
457911,naoki02,"2017-01-28 12:16:59",0.14858
457911,naoki02,"2017-01-28 12:22:59",0.14721
468866,YashSaxena,"2017-02-20 10:07:10",0.15265
468866,YashSaxena,"2017-02-20 13:34:20",0.15235
434217,"Finlay Liu","2017-02-24 08:33:03",0.11585
434217,"Finlay Liu","2017-02-24 08:35:59",0.11480
434217,"Finlay Liu","2017-02-24 09:23:03",0.11471
494464,GeonwooKim,"2017-03-05 02:21:32",0.27811
494464,GeonwooKim,"2017-03-09 06:59:42",0.24098
535728,"Andrii Bereznikov","2017-03-12 19:29:25",0.24983
535728,"Andrii Bereznikov","2017-03-12 20:06:50",0.20721
535728,"Andrii Bereznikov","2017-03-12 20:08:23",0.20704
566393,"Albert Y. Kim","2017-04-01 19:04:24",0.20108
494464,GeonwooKim,"2017-04-20 06:14:55",0.17204
604443,Yerik,"2017-04-21 16:07:22",0.13295
604443,Yerik,"2017-04-22 13:26:00",0.13253
604443,Yerik,"2017-04-22 14:11:39",0.12883
604443,Yerik,"2017-04-22 14:12:20",0.12559
604443,Yerik,"2017-04-29 10:26:42",0.12547
668020,"Adam 2","2017-05-18 22:22:51",9.45422
668020,"Adam 2","2017-05-18 22:28:29",0.14672
668020,"Adam 2","2017-05-18 23:09:54",0.14182
668020,"Adam 2","2017-05-18 23:36:38",0.13074
715081,"Naruhiko Nakanishi","2017-06-04 10:48:15",0.13808
619227,GoKagglers,"2017-06-21 11:14:20",0.12086
546808,takenotabi,"2017-07-12 08:36:07",0.40890
776348,"Roman Melnyk","2017-07-15 12:58:09",0.17022
523910,startech,"2017-08-26 11:47:55",0.13281
523910,startech,"2017-08-26 13:04:53",0.12958
530867,KartikPatnaik,"2017-08-29 13:39:01",0.11454
546808,takenotabi,"2017-08-30 05:37:11",0.20680
883410,maxpayne10,"2017-08-31 12:59:05",0.16961
883410,maxpayne10,"2017-08-31 13:19:59",0.16716
523910,startech,"2017-08-31 20:37:18",0.12733
883410,maxpayne10,"2017-09-01 07:02:42",0.16632
883410,maxpayne10,"2017-09-01 13:10:28",0.16362
523910,startech,"2017-09-01 18:33:59",0.12694
523910,startech,"2017-09-01 23:07:34",0.12244
523910,startech,"2017-09-02 21:16:14",0.12243
523910,startech,"2017-09-03 15:49:47",0.12211
523910,startech,"2017-09-04 19:14:36",0.12138
523910,startech,"2017-09-06 18:00:40",0.12131
897931,"Tony Kuo","2017-09-08 07:01:52",0.13747
530867,KartikPatnaik,"2017-09-08 15:07:15",0.11444
897931,"Tony Kuo","2017-09-12 08:54:17",0.12226
776348,"Roman Melnyk","2017-09-15 23:15:40",0.15537
776348,"Roman Melnyk","2017-09-19 21:12:34",0.15167
776348,"Roman Melnyk","2017-09-19 21:13:45",0.14882
838680,"Yosuke Katada","2017-09-20 09:11:08",9.45475
838680,"Yosuke Katada","2017-09-20 09:12:29",0.17205
838680,"Yosuke Katada","2017-09-20 09:57:36",0.15642
915722,ML19-gustiness,"2017-09-27 01:36:15",0.12096
955793,"Joao Gamboias","2017-09-30 16:40:05",0.28918
472032,nicapotato,"2017-10-08 19:32:52",9.45420
472032,nicapotato,"2017-10-08 19:34:30",0.12498
993075,"Surendra Reddy P","2017-10-12 05:43:56",0.23789
993075,"Surendra Reddy P","2017-10-13 12:31:06",0.18470
993075,"Surendra Reddy P","2017-10-21 01:38:04",0.16727
993075,"Surendra Reddy P","2017-10-21 03:36:10",0.15829
1010024,"Tim Leung","2017-10-24 15:32:58",0.38757
1010024,"Tim Leung","2017-10-24 15:49:40",0.22186
1032234,mcpongg,"2017-11-01 14:38:16",0.42913
1032234,mcpongg,"2017-11-01 14:54:05",0.17422
1032234,mcpongg,"2017-11-01 15:50:42",0.12765
993075,"Surendra Reddy P","2017-11-04 17:25:17",0.12749
993075,"Surendra Reddy P","2017-11-04 17:31:53",0.12490
993075,"Surendra Reddy P","2017-11-04 17:34:49",0.12276
993075,"Surendra Reddy P","2017-11-04 18:02:06",0.12104
993075,"Surendra Reddy P","2017-11-05 16:20:28",0.12029
883410,maxpayne10,"2017-11-07 10:51:07",0.15803
777565,Allunia,"2017-11-08 08:15:24",0.27259
777565,Allunia,"2017-11-08 08:44:29",0.14608
883410,maxpayne10,"2017-11-08 09:33:40",0.15803
883410,maxpayne10,"2017-11-08 09:51:01",0.15761
883410,maxpayne10,"2017-11-09 10:34:53",0.15617
777565,Allunia,"2017-11-09 22:10:47",0.14223
777565,Allunia,"2017-11-10 21:03:05",0.13930
777565,Allunia,"2017-11-10 21:55:22",0.12547
777565,Allunia,"2017-11-11 12:58:12",0.11979
883410,maxpayne10,"2017-11-11 14:24:58",0.15469
883410,maxpayne10,"2017-11-11 14:29:10",0.15433
883410,maxpayne10,"2017-11-13 18:17:00",0.15355
883410,maxpayne10,"2017-11-15 10:24:30",0.15234
619227,GoKagglers,"2017-11-18 11:37:36",0.11542
883410,maxpayne10,"2017-11-21 06:27:01",0.15030
883410,maxpayne10,"2017-11-21 06:28:45",0.14901
883410,maxpayne10,"2017-11-21 06:45:50",0.14901
883410,maxpayne10,"2017-11-23 12:21:11",0.14807
883410,maxpayne10,"2017-11-23 12:25:29",0.14738
883410,maxpayne10,"2017-11-23 12:52:56",0.14699
883410,maxpayne10,"2017-11-23 13:11:36",0.14677
1124735,dataartist99,"2017-11-26 14:33:44",0.18097
1124735,dataartist99,"2017-11-26 14:57:33",0.18014
1124735,dataartist99,"2017-11-26 16:30:51",0.16595
776348,"Roman Melnyk","2017-11-26 21:02:32",0.14074
776348,"Roman Melnyk","2017-11-26 21:04:15",0.13912
776348,"Roman Melnyk","2017-11-27 23:01:47",0.13908
1124735,dataartist99,"2017-11-28 14:33:00",0.14883
883410,maxpayne10,"2017-11-29 12:29:30",0.14675
883410,maxpayne10,"2017-11-30 07:58:34",0.14657
1145390,"Tigran Hakobyan","2017-12-01 15:14:33",0.40890
826809,Wenlu,"2017-12-04 19:11:45",0.12016
1162886,Simbad,"2017-12-05 15:55:12",0.13280
826809,Wenlu,"2017-12-05 16:21:04",0.11825
1145390,"Tigran Hakobyan","2017-12-05 19:31:21",0.28918
1162886,Simbad,"2017-12-06 08:26:50",0.13249
1159706,VeniVidiVici,"2017-12-06 14:49:18",0.29101
1159706,VeniVidiVici,"2017-12-07 11:17:11",0.25081
1159706,VeniVidiVici,"2017-12-07 11:55:37",0.18810
1159706,VeniVidiVici,"2017-12-07 11:56:37",0.18127
1159706,VeniVidiVici,"2017-12-07 13:44:48",0.17907
1159706,VeniVidiVici,"2017-12-07 13:45:54",0.17778
1159706,VeniVidiVici,"2017-12-07 14:05:48",0.17215
1159706,VeniVidiVici,"2017-12-07 17:44:40",0.16674
1145390,"Tigran Hakobyan","2017-12-07 21:29:22",0.28918
1145390,"Tigran Hakobyan","2017-12-08 15:47:06",0.19213
1164762,Zayd,"2017-12-10 02:14:24",0.14318
1185181,Khaitov,"2017-12-11 22:33:59",0.15186
1159706,VeniVidiVici,"2017-12-12 21:51:41",0.15767
1159706,VeniVidiVici,"2017-12-12 22:03:32",0.12876
1159706,VeniVidiVici,"2017-12-13 10:51:09",0.12501
1159706,VeniVidiVici,"2017-12-13 11:04:00",0.12491
472032,nicapotato,"2017-12-19 17:55:11",0.11623
1145390,"Tigran Hakobyan","2017-12-21 10:18:42",0.19122
1065048,NNTIME,"2017-12-21 13:37:05",0.31989
1065048,NNTIME,"2017-12-21 13:38:44",0.31154
1065048,NNTIME,"2017-12-21 14:43:20",0.14539
1065048,NNTIME,"2017-12-21 14:46:28",0.11401
1065048,NNTIME,"2017-12-21 14:51:02",0.11271
546808,takenotabi,"2017-12-22 07:39:18",0.20680
1171747,SGB1710,"2017-12-26 11:26:59",0.47328
1171747,SGB1710,"2017-12-26 12:08:49",0.25390
1171747,SGB1710,"2017-12-26 15:39:53",0.25340
1222474,"Rafael Schlatter","2017-12-27 16:29:51",0.79794
1222474,"Rafael Schlatter","2017-12-27 16:33:45",0.51395
1222474,"Rafael Schlatter","2017-12-27 16:42:55",0.48823
1222474,"Rafael Schlatter","2017-12-27 16:47:23",0.19893
1222474,"Rafael Schlatter","2017-12-28 07:24:21",0.18665
1222474,"Rafael Schlatter","2017-12-28 07:36:40",0.17727
1171747,SGB1710,"2017-12-28 08:38:42",0.23096
1171747,SGB1710,"2017-12-28 12:15:33",0.13592
1171747,SGB1710,"2017-12-29 08:11:34",0.13424
1022112,Dutch,"2017-12-29 10:05:09",0.14145
1171747,SGB1710,"2017-12-29 10:29:50",0.13278
1171747,SGB1710,"2017-12-29 10:30:51",0.13250
1171747,SGB1710,"2017-12-29 11:18:30",0.13214
1022112,Dutch,"2017-12-29 11:53:07",0.12671
1171747,SGB1710,"2017-12-30 00:14:08",0.13169
1171747,SGB1710,"2017-12-30 00:19:23",0.13030
1226958,"Ke Bao","2017-12-30 10:12:27",0.12663
1171747,SGB1710,"2017-12-31 00:10:07",0.13020
1171747,SGB1710,"2018-01-01 10:48:40",0.12979
523910,startech,"2018-01-05 12:10:06",0.12086
1238620,"jay woo","2018-01-05 15:53:57",0.18372
1145390,"Tigran Hakobyan","2018-01-07 18:58:28",0.19122
1022112,Dutch,"2018-01-08 22:33:06",0.12642
1022112,Dutch,"2018-01-09 14:24:07",0.12312
1022112,Dutch,"2018-01-09 14:58:27",0.12138
1022112,Dutch,"2018-01-10 09:39:20",0.12079
1022112,Dutch,"2018-01-12 11:22:26",0.12062
1241125,TanakaTom,"2018-01-13 04:26:46",0.22855
1145390,"Tigran Hakobyan","2018-01-13 18:24:41",0.18112
1145390,"Tigran Hakobyan","2018-01-13 18:41:08",0.17516
1145390,"Tigran Hakobyan","2018-01-13 18:58:45",0.17322
1145390,"Tigran Hakobyan","2018-01-13 19:06:31",0.17175
1171747,SGB1710,"2018-01-17 08:11:47",0.12916
1171747,SGB1710,"2018-01-17 08:13:47",0.12916
1171747,SGB1710,"2018-01-18 18:32:54",0.12837
1171747,SGB1710,"2018-01-18 18:34:43",0.12792
1171747,SGB1710,"2018-01-19 17:16:29",0.12429
1171747,SGB1710,"2018-01-19 17:17:21",0.12429
1022112,Dutch,"2018-01-19 21:35:04",0.12031
1241125,TanakaTom,"2018-01-22 22:31:30",0.13660
437448,"Shekhar Jha","2018-01-26 18:12:06",0.20785
1159706,VeniVidiVici,"2018-01-27 15:00:17",0.12355
1159706,VeniVidiVici,"2018-01-27 15:03:13",0.12348
1159706,VeniVidiVici,"2018-01-28 10:16:25",0.12274
1313272,"Catherine Qian","2018-01-30 19:27:23",0.12099
1022112,Dutch,"2018-02-01 14:01:23",0.11968
1230502,"Mohammadjavad Saeedizade","2018-02-01 23:33:13",0.56271
1230502,"Mohammadjavad Saeedizade","2018-02-01 23:44:51",0.54723
1159706,VeniVidiVici,"2018-02-02 13:20:33",0.11536
1159706,VeniVidiVici,"2018-02-02 13:22:01",0.11469
1159706,VeniVidiVici,"2018-02-02 14:43:41",0.11457
1022112,Dutch,"2018-02-02 15:33:58",0.11762
955793,"Joao Gamboias","2018-02-06 23:51:19",0.21393
955793,"Joao Gamboias","2018-02-08 10:15:19",0.16036
955793,"Joao Gamboias","2018-02-08 11:00:38",0.13282
883410,maxpayne10,"2018-02-09 08:41:12",0.14596
1363666,apwayz,"2018-02-11 15:11:35",0.16799
1363666,apwayz,"2018-02-11 21:32:44",0.15835
883410,maxpayne10,"2018-02-14 10:55:39",0.14545
661385,"Deep Chatterjee","2018-02-15 10:12:57",0.12031
1032234,mcpongg,"2018-02-16 08:56:36",0.12765
1363666,apwayz,"2018-02-17 20:50:25",0.15818
1363666,apwayz,"2018-02-17 21:06:26",0.15406
1022112,Dutch,"2018-02-19 13:45:37",0.11734
1022112,Dutch,"2018-02-19 13:53:56",0.11730
1022112,Dutch,"2018-02-19 14:03:04",0.11682
1022112,Dutch,"2018-02-19 14:28:12",0.11682
1022112,Dutch,"2018-02-20 08:05:11",0.11650
1407299,DGCN,"2018-02-23 20:10:49",0.13188
1407299,DGCN,"2018-02-23 20:25:26",0.13060
1407299,DGCN,"2018-02-23 20:39:48",0.12980
1407299,DGCN,"2018-02-24 09:41:46",0.11563
1411352,"Arunkumar Ramanan","2018-02-25 03:32:59",0.11439
1323967,Bazingaa,"2018-02-26 21:56:02",0.12136
1323967,Bazingaa,"2018-02-26 21:57:06",0.12028
1323967,Bazingaa,"2018-02-26 22:00:35",0.12021
1323967,Bazingaa,"2018-02-26 23:25:39",0.11568
1323967,Bazingaa,"2018-02-27 12:49:06",0.11557
1323967,Bazingaa,"2018-02-27 22:04:11",0.11552
1171747,SGB1710,"2018-03-01 21:27:22",0.12362
1409879,"يحظيه عنَ","2018-03-01 22:13:31",0.41719
1409879,"يحظيه عنَ","2018-03-01 22:14:04",0.18516
1409879,"يحظيه عنَ","2018-03-01 22:16:35",0.11543
1236681,adamyeoman,"2018-03-04 10:22:22",0.20187
1236681,adamyeoman,"2018-03-04 20:13:01",0.19433
1236681,adamyeoman,"2018-03-04 21:03:54",0.14189
1236681,adamyeoman,"2018-03-06 21:54:23",0.12995
1280472,"Arun Godwin Patel","2018-03-07 15:26:23",0.14632
1280472,"Arun Godwin Patel","2018-03-07 15:35:16",0.14368
1418528,Sina_LEE,"2018-03-08 09:18:15",0.13120
1280472,"Arun Godwin Patel","2018-03-08 09:51:11",0.11519
936388,"Yohei Yamasaki","2018-03-12 06:44:26",0.17796
936388,"Yohei Yamasaki","2018-03-13 17:30:51",0.11672
936388,"Yohei Yamasaki","2018-03-14 02:48:41",0.11633
936388,"Yohei Yamasaki","2018-03-14 08:13:30",0.11618
1496799,"Soumendra Kumar Dash","2018-03-20 17:32:44",0.16129
1496799,"Soumendra Kumar Dash","2018-03-21 15:43:42",0.13258
1496799,"Soumendra Kumar Dash","2018-03-21 20:35:25",0.12904
1555576,"Fish & Chips","2018-04-06 10:12:45",0.15145
